#Data tag : 19v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 317080:6737 | 05/28/18 20:40:32 | 26   | 26   | 0.008          | 0.008         |
| 317087:6738 | 05/28/18 23:14:11 | 741  | 741  | 0.253          | 0.243         |
| 317089:6738 | 05/29/18 04:46:51 | 1003 | 1003 | 0.221          | 0.213         |
| 317182:6741 | 05/30/18 09:15:46 | 1377 | 1377 | 0.421          | 0.406         |
| 317212:6744 | 05/31/18 02:42:17 | 140  | 140  | 0.054          | 0.051         |
| 317213:6744 | 05/31/18 03:40:05 | 375  | 375  | 0.130          | 0.125         |
| 317279:6747 | 05/31/18 17:11:10 | 466  | 466  | 0.068          | 0.066         |
| 317291:6749 | 06/01/18 02:53:28 | 791  | 791  | 0.283          | 0.274         |
| 317292:6749 | 06/01/18 08:08:05 | 330  | 330  | 0.088          | 0.085         |
| 317297:6749 | 06/01/18 11:34:35 | 697  | 697  | 0.127          | 0.124         |
| 317319:6751 | 06/01/18 19:42:33 | 139  | 139  | 0.057          | 0.053         |
| 317320:6751 | 06/01/18 20:37:54 | 1820 | 1820 | 0.476          | 0.460         |
| 317338:6752 | 06/02/18 10:48:26 | 42   | 42   | 0.016          | 0.014         |
| 317339:6752 | 06/02/18 11:06:14 | 163  | 163  | 0.068          | 0.066         |
| 317340:6752 | 06/02/18 12:17:48 | 418  | 418  | 0.148          | 0.140         |
| 317382:6755 | 06/03/18 16:34:21 | 71   | 71   | 0.028          | 0.024         |
| 317383:6755 | 06/03/18 17:05:19 | 58   | 58   | 0.024          | 0.022         |
| 317391:6757 | 06/04/18 03:21:59 | 8    | 8    | 0.003          | 0.003         |
| 317392:6757 | 06/04/18 03:27:44 | 1898 | 1898 | 0.505          | 0.490         |
| 317435:6759 | 06/05/18 00:15:36 | 1397 | 1397 | 0.374          | 0.360         |
| 317438:6759 | 06/05/18 09:20:20 | 307  | 307  | 0.052          | 0.050         |
| 317475:6761 | 06/05/18 18:13:47 | 68   | 68   | 0.027          | 0.026         |
| 317478:6761 | 06/05/18 18:47:21 | 23   | 23   | 0.008          | 0.008         |
| 317484:6761 | 06/05/18 19:51:18 | 523  | 523  | 0.165          | 0.160         |
| 317488:6761 | 06/05/18 23:26:30 | 844  | 844  | 0.187          | 0.181         |
| 317527:6763 | 06/06/18 22:52:12 | 1447 | 1447 | 0.466          | 0.451         |
| 317591:6768 | 06/08/18 07:07:54 | 292  | 292  | 0.115          | 0.111         |
| 317626:6770 | 06/08/18 20:45:30 | 2006 | 2006 | 0.546          | 0.528         |
| 317640:6772 | 06/09/18 13:47:48 | 801  | 801  | 0.271          | 0.261         |
| 317641:6772 | 06/09/18 19:02:09 | 1390 | 1390 | 0.276          | 0.268         |
| 317648:6773 | 06/10/18 06:27:56 | 95   | 95   | 0.037          | 0.034         |
| 317649:6773 | 06/10/18 07:08:12 | 621  | 621  | 0.200          | 0.193         |
| 317650:6773 | 06/10/18 11:10:27 | 1304 | 1304 | 0.264          | 0.256         |
| 317661:6774 | 06/10/18 21:56:59 | 1222 | 1222 | 0.387          | 0.375         |
| 317663:6774 | 06/11/18 06:27:15 | 858  | 858  | 0.157          | 0.153         |
| 317683:6776 | 06/11/18 16:18:33 | 320  | 320  | 0.122          | 0.118         |
| 317696:6778 | 06/12/18 00:00:42 | 645  | 645  | 0.237          | 0.228         |
| 318828:6858 | 06/28/18 06:30:24 | 70   | 70   | 0.014          | 0.013         |
| 318872:6860 | 06/28/18 15:50:31 | 272  | 272  | 0.095          | 0.092         |
| 318874:6860 | 06/28/18 17:39:38 | 320  | 320  | 0.104          | 0.099         |
| 318876:6860 | 06/28/18 19:45:23 | 161  | 161  | 0.049          | 0.047         |
| 318877:6860 | 06/28/18 20:49:22 | 615  | 615  | 0.165          | 0.160         |
| 319077:6874 | 07/01/18 23:27:46 | 41   | 41   | 0.017          | 0.016         |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 23    | 43   | 26205 | 26205 | 7.313             | 7.052            |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
